ID,,,,,,,Daily,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Src Stn
08001,Mon,Fri,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,KGP
08002,Tue,Sat,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,JGM
08011,Daily,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CKP
08012,Daily,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TATA
08017,Sun,Mon,Tue,Wed,Thu,Fri,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,KGP
08018,Sun,Mon,Tue,Wed,Thu,Fri,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,JGM
08035,Sun,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,KGP
08036,Sat,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,BLS
08051,Mon,Tue,Wed,Thu,Fri,Sat,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,KGP
08052,Mon,Tue,Wed,Thu,Fri,Sat,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,JGM
08063,Sat,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,KGP
08064,Fri,Sat,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,BQA
08065,Sun,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,KGP
08581,Daily,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BPQ
08582,Daily,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CAF
08627,Sun,Mon,Tue,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,HWH
